,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Profits as % of Assets,Profits as % of Sales,description
125,Reliance Industries,Oil & Gas Operations,India,69.36,29.4,2.91,48.5,126,0.06,0.0989795918367347,"Reliance Industries Limited (RIL) is an Indian multinational conglomerate company headquartered in Mumbai, Maharashtra, India. Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources, retail, and telecommunications. Reliance is one of the most profitable companies in India, the largest publicly traded company in India by market capitalisation, and the largest company in India as measured by revenue after recently surpassing the government-controlled Indian Oil Corporation. On 10 September 2020, Reliance Industries became the first Indian company to cross $200 billion in market capitalisation.The company is ranked 96th on the Fortune Global 500 list of the world's biggest corporations as of 2020. It is ranked 8th among the Top 250 Global Energy Companies by Platts as of 2016. Reliance continues to be India's largest exporter, accounting for 8% of India's total merchandise exports with a value of ₹1,47,755 crore and access to markets in 108 countries. Reliance is responsible for almost 5% of the government of India's total revenues from customs and excise duty. It is also the highest income tax payer in the private sector in India."
126,Travelers Cos,Insurance,United States,27.26,24.68,3.62,109.56,127,0.0330412559328222,0.146677471636953,"The Travelers Companies, Inc., commonly known as Travelers, is an American insurance company. It is the second-largest writer of U.S. commercial property casualty insurance, and the sixth-largest writer of U.S. personal insurance through independent agents.  Travelers is incorporated in Minnesota, with headquarters in New York City, and its largest office in Hartford, Connecticut. Travelers also maintains a large office in St. Paul, Minnesota. It has been a component of the Dow Jones Industrial Average since June 8, 2009.The company has field offices in every U.S. state, plus operations in the United Kingdom, Ireland, Singapore, China, Canada, and Brazil. Travelers ranked No. 106 in the 2018 Fortune 500 list of the largest United States corporations with total revenue of $28.9 billion.Travelers, through its subsidiaries and approximately 14,000 independent agents and brokers, provides commercial and personal property and casualty insurance products and services to businesses, government units, associations, and individuals. The company offers insurance through three segments:

Personal Insurance, which includes home, auto and other insurance products for individuals
Business Insurance, which includes a broad array of property and casualty insurance and insurance-related services in the United States
Bond and Specialty Insurance, which includes surety, crime, and financial liability businesses which primarily use credit-based underwriting processes, as well as property and casualty products that are predominantly marketed on an international basis."
127,Hutchison Whampoa,Conglomerates,Hong Kong/China,30.97,30.38,2.28,86.04,128,0.0264993026499303,0.0750493745885451,"Hutchison Whampoa Limited (HWL) was an investment holding company based in Hong Kong. It was a Fortune Global 500 company and one of the largest companies listed on the Hong Kong Stock Exchange. HWL was an international corporation with a diverse array of holdings which included the world's biggest port, and telecommunication operations in 14 countries that were run under the 3 brand. Its businesses also included retail, property development and infrastructure. 
It was 49.97% owned by the Cheung Kong Group until 3 June 2015, when the company merged with the Cheung Kong Group as part of a major reorganisation of the group's businesses. The combined business was renamed CK Hutchison Holdings Limited.

"
128,Prudential,Insurance,United Kingdom,20.05,77.67,1.11,361.5,129,0.0030705394190871397,0.0142912321359598,"Prudential Financial, Inc. is an American Fortune Global 500 and Fortune 500 company whose subsidiaries provide insurance, investment management, and other financial products and services to both retail and institutional customers throughout the United States and in over 40 other countries.
Prudential Financial is the largest insurance company in the United States, with total assets amounting to approximately 1.456 trillion U.S. dollars.
Principal products and services provided include life insurance, annuities, mutual funds, pension- and retirement-related investments, administration and asset management, securities brokerage services. It provides these products and services to individual and institutional customers through distribution networks in the financial services industry. Prudential has operations in the United States, Asia, Europe and Latin America and has organized its principal operations into the Financial Services Businesses and the Closed Block Business.
Prudential is composed of hundreds of subsidiaries and holds more than $4 trillion of life insurance.The company uses the Rock of Gibraltar as its logo.

"
129,State Bank of India Group,Banking,India,27.21,22.14,2.13,256.79,130,0.00829471552630554,0.0962059620596206,"State Bank of India (SBI) is an Indian multinational, public sector banking and financial services statutory body headquartered in Mumbai, Maharashtra. SBI is the 43rd largest bank in the world and ranked 221st in the Fortune Global 500 list of the world's biggest corporations of 2020. A nationalised bank, it is the largest in India with a 23% market share by assets and a 25% share of the total loan and deposits market.The bank descends from the Bank of Calcutta, founded in 1806 via the Imperial Bank of India, making it the oldest commercial bank in the Indian subcontinent. The Bank of Madras merged into the other two presidency banks in British India, the Bank of Calcutta and the Bank of Bombay, to form the Imperial Bank of India, which in turn became the State Bank of India in 1955. The Government of India took control of the Imperial Bank of India in 1955, with Reserve Bank of India (India's central bank) taking a 60% stake, renaming it State Bank of India."
130,América Móvil,Telecommunications Services,Mexico,72.09,30.22,5.4,34.7,131,0.155619596541787,0.178689609530113,"América Móvil is a Mexican telecommunications corporation headquartered in Mexico City, Mexico. It is the seventh largest mobile network operator in terms of equity subscribers and one of the largest corporations in the world. América Móvil is a Forbes Global 2000 company. As of Q1, 2019, América Móvil had 277.4 million wireless subscribers, and 84.3 million fixed revenue generating units (“RGUs”, consisting of fixed voice, fixed data and Pay TV units)."
131,Philip Morris International,"Food, Drink & Tobacco",United States,92.04,25.04,6.34,34.55,132,0.183502170767004,0.253194888178914,"Philip Morris International Inc. (PMI) is a Swiss-American multinational cigarette and tobacco manufacturing company, with products sold in over 180 countries. The most recognized and best selling product of the company is Marlboro. Phillip Morris International is a global leader in the development of heated tobacco products and has stated its ambition to deliver a smoke-free future by the development and marketing on non-combustible tobacco products. Philip Morris International is often referred to as one of the companies comprising Big Tobacco.
Until a spin-off in March 2008, Philip Morris International was an operating company of Altria. Altria explained the spin-off, arguing PMI would have more ""freedom,"" i.e. leeway outside the responsibilities and standards of American corporate ownership in terms of potential litigation and legislative restrictions to ""pursue sales growth in emerging markets"", while Altria focuses on the American domestic market. The shareholders in Altria at the time were given shares in PMI, which was listed on the London Stock Exchange and other markets.
The company's legal seat is in New York City, yet it does not operate in the United States of America. Philip Morris USA, a subsidiary of PMI's former owner American parent Altria group, owns the Philip Morris brands there. Operational headquarters are in Lausanne, Switzerland.With tobacco being addictive and the single greatest cause of preventable death globally, the company is highly controversial, not least because of its history of obfuscating scientific evidence around the health impacts of smoking. It has been the subject of litigation and restrictive legislation from governments.
In response to awareness of the harm to health of cigarettes, PMI has declared on its homepage the intention to replace cigarettes with smoke-free products, and to ""switch ... adult smokers"" to these products as the first phase of a business strategy, as a decision for the benefit of ""adult smokers"" and the companies shareholders and employees.With the world-wide decrease in smoking in the 21st century, shares of Philip Morris were no longer considered the ""safe haven"" they once were. The company ranked No. 108 in the 2018 Fortune 500 list of the largest corporations by total revenue."
132,British Amer Tobacco,"Food, Drink & Tobacco",United Kingdom,68.27,22.95,4.38,42.41,133,0.103277528884697,0.190849673202614,"British American Tobacco plc (BAT) is a British multinational company that manufactures and sells cigarettes, tobacco and other nicotine products. The company, established in 1902, is headquartered in London, England. As of 2019, it is the largest tobacco company in the world based on net sales.BAT has operations in around 180 countries, and its cigarette brands include Dunhill, Kent, Lucky Strike, Pall Mall and Rothmans. Its brands also include Vype and Vuse and Glo.BAT has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has a secondary listing on the Johannesburg Stock Exchange.  BAT plc ordinary shares are also listed on the New York Stock Exchange in the form of American Depositary Shares.

"
133,Time Warner,Media,United States,34.05,25.79,2.44,65.73,134,0.037121557888331005,0.094610314075223,"Warner Media, LLC (stylized as WarnerMedia) is an American multinational mass media and entertainment conglomerate corporation owned by AT&T and headquartered in New York City, United States. It was originally formed in 1990 by Steve Ross and formerly known as Time Warner from 1990 to 2001 and 2003 to 2018, from the merger of Time Inc. and the original Warner Communications. The company has film, television and cable operations, with its assets including WarnerMedia Studios & Networks (consisting of the entertainment assets of Turner Broadcasting, HBO, and Cinemax as well as Warner Bros., which itself consists of the film, animation, television studios and the company's home entertainment division, DC Comics, New Line Cinema, and, together with ViacomCBS, a 50% interest in The CW television network); WarnerMedia News & Sports (consisting of the news and sports assets of Turner Broadcasting, as well as AT&T SportsNet); WarnerMedia Sales & Distribution (consisting of digital analytics company Xandr and Otter Media); and WarnerMedia Direct (consisting of the HBO Max streaming service).
On October 22, 2016, AT&T announced an offer to acquire Time Warner for $85 billion (including assumed Time Warner debt). The proposed merger was confirmed on June 12, 2018, after AT&T won an antitrust lawsuit that the U.S. Justice Department filed in 2017 to attempt to block the acquisition. The merger closed two days later, with the company becoming a subsidiary of AT&T.Despite spinning off Time Inc. in 2014, the company retained the Time Warner name until AT&T's acquisition in 2018, after which it became WarnerMedia. The company's previous assets included Time Inc., TW Telecom, AOL, Time Warner Cable, AOL Time Warner Book Group, and Warner Music Group; these operations were either sold to others or spun off as independent companies. The company was ranked No. 98 in the 2018 Fortune 500 list of the largest United States corporations by total revenue."
134,Nokia,Technology Hardware & Equip,Finland,49.18,58.72,1.28,49.11,135,0.026063938098147003,0.0217983651226158,"Nokia Corporation (natively Nokia Oyj, referred to as Nokia; Finnish: [ˈnokiɑ], UK: , US: ) is a Finnish multinational telecommunications, information technology, and consumer electronics company, founded in 1865. Nokia's headquarters are in Espoo, Finland, in the greater Helsinki metropolitan area. In 2018, Nokia employed approximately 103,000 people across over 100 countries, did business in more than 130 countries, and reported annual revenues of around €23 billion. Nokia is a public limited company listed on the Helsinki Stock Exchange and New York Stock Exchange. It is the world's 415th-largest company measured by 2016 revenues according to the Fortune Global 500, having peaked at 85th place in 2009. It is a component of the Euro Stoxx 50 stock market index.The company has operated in various industries over the past 150 years. It was founded as a pulp mill and had long been associated with rubber and cables, but since the 1990s has focused on large-scale telecommunications infrastructure, technology development, and licensing. Nokia is a major contributor to the mobile telephony industry, having assisted in the development of the GSM, 3G, and LTE standards (and currently in 5G), and was once the largest worldwide vendor of mobile phones and smartphones. After a partnership with Microsoft and Nokia's subsequent market struggles, Microsoft bought its mobile phone business, creating Microsoft Mobile as its successor in 2014. After the sale, Nokia began to focus more on its telecommunications infrastructure business and on Internet of things technologies, marked by the divestiture of its Here mapping division and the acquisition of Alcatel-Lucent, including its Bell Labs research organization. The company then also experimented with virtual reality and digital health, the latter through the purchase of Withings. The Nokia brand returned to the mobile and smartphone market in 2016 through a licensing arrangement with HMD Global. Nokia continues to be a major patent licensor for most large mobile phone vendors. As of 2018, Nokia is the world's third-largest network equipment manufacturer.The company was viewed with national pride by Finns, as its mobile phone business made it by far the largest worldwide company and brand from Finland. At its peak in 2000, during the telecoms bubble, Nokia accounted for 4% of the country's GDP, 21% of total exports, and 70% of the Helsinki Stock Exchange market capital."
135,PNC Financial Services,Banking,United States,24.86,18.95,2.45,269.86,135,0.00907878159045431,0.129287598944591,"PNC Financial Services Group, Inc. (stylized as PNC) is a bank holding company and financial services corporation based in Pittsburgh, Pennsylvania. Its banking subsidiary, PNC Bank, operates in 21 states and the District of Columbia with 2,296 branches and 9,051 ATMs. The company also provides financial services such as asset management, wealth management, estate planning, loan servicing, and information processing.PNC is on the list of largest banks in the United States by assets. It is the 5th largest bank by number of branches, 6th largest by deposits, and 4th largest in number of ATMs.The name ""PNC"" is derived from the initials of both of the bank's two predecessor companies: Pittsburgh National Corporation and Provident National Corporation, which merged in 1983.

"
136,Posco,Materials,South Korea,39.84,33.48,3.51,37.03,137,0.0947880097218471,0.104838709677419,"POSCO (formerly Pohang Iron and Steel Co., Ltd) is a South Korean steel-making company headquartered in Pohang, South Korea. It had an output of 42,000,000 metric tons (41,000,000 long tons; 46,000,000 short tons) of crude steel in 2015, making it the world's fourth-largest steelmaker by this measure. In 2010, it was the world's largest steel manufacturing company by market value. Also, in 2012, it was named as the 146th world's largest corporations by the Fortune Global 500.POSCO currently operates two integrated steel mills in South Korea, in Pohang and Gwangyang. POSCO previously operated a joint venture with U.S. Steel, USS-POSCO Industries, in Pittsburg, California, United States, but U.S. Steel acquired full ownership of the facility in February 2020."
137,Anglo American,Materials,United Kingdom,48.19,21.16,2.46,56.8,138,0.0433098591549296,0.116257088846881,"Anglo American plc is a British multinational mining company with headquarters in London, England. It is the world's largest producer of platinum, with around 40% of world output, as well as being a major producer of diamonds, copper, nickel, iron ore and metallurgical and thermal coal. The company has operations in Africa, Asia, Australia, Europe, North America and South America.Anglo American has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. The company has a secondary listing on the Johannesburg Stock Exchange. In the 2020 Forbes Global 2000, Anglo American was ranked as the 274th -largest public company in the world.

"
138,United Parcel Service,Transportation,United States,58.43,45.3,2.15,31.88,139,0.0674404015056462,0.0474613686534216,"United Parcel Service (shortened in initials as UPS; stylized in all lowercase) is an American multinational package delivery and supply chain management company.Along with the central package delivery operation, the UPS brand name (in a fashion similar to that of competitor FedEx) is used to denote many of its divisions and subsidiaries, including its cargo airline (UPS Airlines), freight-based trucking operation (UPS Freight, formerly Overnite Transportation), and its delivery drone airline (UPS Flight Forward). The global logistics company is headquartered in the U.S. city of Sandy Springs, Georgia, which is a part of the Greater Atlanta metropolitan area."
139,Vivendi,Media,France,31.15,37.83,1.16,79.07,140,0.0146705450866321,0.0306634945810204,"Vivendi SA is a French media conglomerate headquartered in Paris. Widely known as the owner of Universal Music Group, Groupe Canal+, Havas, Editis, Vivendi Village and Dailymotion, the company has activities in music, television, film, video games, book publishing, communication, tickets and video hosting services.

"
140,China Merchants Bank,Banking,China,45.65,12.09,3.09,230.0,141,0.0134347826086957,0.255583126550868,"China Merchants Bank (CMB) (Chinese: 招商銀行; pinyin: Zhāoshāng Yínháng) is a Chinese bank headquartered in Futian District, Shenzhen, Guangdong, China. Founded in 1987, it is the first share-holding commercial bank wholly owned by corporate legal entities in China.
CMB has over five hundred branches in mainland China and one in Hong Kong. In November 2007, as part of a drive for international growth, it won federal approval to open a branch in New York City.

"
141,East Japan Railway,Transportation,Japan,27.43,27.7,1.92,67.93,142,0.0282643898130428,0.0693140794223827,"The East Japan Railway Company is a major passenger railway company in Japan and is the largest of the seven Japan Railways Group companies. The company name is officially abbreviated as JR-EAST or JR East in English, and as JR Higashi-Nihon (JR東日本, Jeiāru Higashi-Nihon) in Japanese. The company's headquarters are in Yoyogi, Shibuya, Tokyo, next to Shinjuku Station. It is listed in the Tokyo Stock Exchange (it formerly had secondary listings in the Nagoya and Osaka stock exchanges), is a constituent of the TOPIX Core30 index, and is also one of the three only Japan Railways Group constituents of the Nikkei 225 index, the other being JR Central and JR West.

"
142,ABB,Capital Goods,Switzerland,46.46,31.8,2.9,33.68,143,0.086104513064133,0.0911949685534591,"ABB, formerly ASEA Brown Boveri, is a Swedish-Swiss multinational corporation headquartered in Zürich, Switzerland, operating mainly in robotics, power, heavy electrical equipment, and automation technology areas. It is ranked 341st in the Fortune Global 500 list of 2018 and has been a global Fortune 500 company for 24 years. Until the sale of its electricity division in 2020, ABB was Switzerland's largest industrial employer. ABB is traded on the SIX Swiss Exchange in Zürich, Nasdaq Stockholm and the New York Stock Exchange in the United States."
143,Deutsche Telekom,Telecommunications Services,Germany,56.25,90.08,0.49,183.11,144,0.00267598711157228,0.00543960923623446,"Deutsche Telekom AG (German pronunciation: [ˌdɔʏtʃə ˈteːləkɔm ʔaːˌɡeː] (listen); short form in writing only: DT; stylised as ·T···) is a German telecommunications company headquartered in Bonn and by revenue the largest telecommunications provider in Europe. Deutsche Telekom was formed in 1995, as the former state-owned monopoly Deutsche Bundespost was privatised. Since it was privatized, Deutsche Telekom has featured among Fortune 500 companies with its latest ranking 86 in 2020. The company operates several subsidiaries worldwide, including the mobile communications brand T-Mobile.
As of April 2020, the German government holds a 14.5% stake in company stock directly, and another 17.4% through the government bank KfW. The company is a component of the EURO STOXX 50 stock market index."
144,China Unicom (HK),Telecommunications Services,Hong Kong/China,29.83,21.6,4.92,49.85,145,0.0986960882647944,0.227777777777778,"China United Network Communications Group Co., Ltd. (Chinese: 中国联合网络通信集团有限公司) or China Unicom (Chinese: 中国联通) (CUniq in short) is a Chinese state-owned telecommunications operator of China. China Unicom is the world's fourth-largest mobile service provider by subscriber base.Started as a wireless paging and GSM mobile operator, it currently provides a wide range of services including nationwide GSM mobile network, long-distance, local calling, data communication, Internet services, and IP telephony in mainland China. China Unicom has operated a CDMA network in Macau since October 18, 2006 and internet services in North Korea since 2010. As of the end of April 2008, the company had 125 million GSM subscribers and 43 million CDMA subscribers. As of November 2008 the CDMA operations have been moved to China Telecommunications Corporation (China Telecom Group). On 7 January 2009, China Unicom was awarded WCDMA license to expand its business to 3G telecommunication. UMTS (Universal Mobile Telecommunications System) was launched in major cities across China on May 17, 2009.On July 11, 2020, China Unicom joined hands with LuHan to launch the ""FuLu Companion Card"", which sounded the forward number for the further development of 5G.  LuHan also officially unlocked his new identity and became a ""China Unicom Innovation Partner"", with the ""FuLu companion card"" to bring exclusive benefits and surprises to the majority of Unicom users."
145,Lockheed Martin,Aerospace & Defense,United States,29.61,45.19,3.02,35.11,146,0.0860153802335517,0.0668289444567382,"Lockheed Martin Corporation is an American aerospace, arms, defense, security, and advanced technologies company with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995. It is headquartered in North Bethesda, Maryland, in the Washington, D.C., area. Lockheed Martin employs approximately 110,000 people worldwide as of January 2020.Lockheed Martin is one of the largest companies in the aerospace, military support, security, and technologies industry. It is the world's largest defense contractor, based on revenue for fiscal year 2014. In 2013, 78% of Lockheed Martin's revenues came from military sales; it topped the list of US federal government contractors and received nearly 10% of the funds paid out by the Pentagon. In 2009, US government contracts accounted for $38.4 billion (85%), foreign government contracts for $5.8 billion (13%), and commercial and other contracts for $900 million (2%).Half of the company’s annual sales are to the U.S. Department of Defense. Lockheed Martin is also a contractor for the U.S. Department of Energy and the National Aeronautics and Space Administration (NASA).Lockheed Martin operates in four business segments: Aeronautics, Missiles and Fire Control (MFC), Rotary and Mission Systems (RMS), and Space. The company has received the Collier Trophy six times, including in 2001 for being part of developing the X-35/F-35B LiftFan Propulsion System and most recently in 2018 for the Automatic Ground Collision Avoidance System (Auto-GCAS). Lockheed Martin is currently developing the F-35 Lightning II and leads the international supply chain, leads the team for the development and implementation of technology solutions for the new USAF Space Fence (AFSSS replacement), and is the primary contractor for the development of the Orion command module. The company also invests in healthcare systems, renewable energy systems, intelligent energy distribution, and compact nuclear fusion."
146,Canon,Business Services & Supplies,Japan,55.8,34.53,1.46,41.33,147,0.0353254294701186,0.0422820735592239,"Canon Inc. (キヤノン（キャノン）株式会社, Kyanon kabushiki gaisha) is a Japanese multinational corporation headquartered in Ōta, Tokyo, Japan, specializing in optical, imaging, and industrial products, such as lenses, cameras, medical equipment, scanners, printers, and semiconductor manufacturing equipment.Canon has a primary listing on the Tokyo Stock Exchange and is a constituent of the TOPIX Core30 and Nikkei 225 index. It has a secondary listing on the New York Stock Exchange."
147,Schlumberger,Oil & Gas Operations,Netherlands,73.49,22.98,3.13,33.47,148,0.0935165820137436,0.136205395996519,"Schlumberger Limited (French: [ʃlum.bɛʁˈʒe, ʃlœ̃-]) is an oilfield services company.  Schlumberger employees represent more than 140 nationalities working in more than 120 countries. Schlumberger has four principal executive offices located in Paris, Houston, London, and The Hague.Schlumberger is incorporated in Willemstad, Curaçao as Schlumberger N.V. and trades on the New York Stock Exchange, Euronext Paris, the London Stock Exchange and SIX Swiss Exchange. Schlumberger is a Fortune Global 500 company, ranked 287 in 2016, and also listed in Forbes Global 2000, ranked 176 in 2016.

"
148,Nippon Steel,Materials,Japan,25.43,48.99,1.59,48.78,149,0.0325953259532595,0.0324556031843233,"Nippon Steel Corporation (日本製鉄株式会社, Nippon Seitetsu kabushiki gaisha), was formed in 2012 by the merger of the old Nippon Steel and Sumitomo Metal. The old Nippon Steel Corporation was established in 1970 by the merger of Fuji Iron & Steel and Yawata Iron & Steel. 
Nippon Steel is the world's third largest steel producer by volume as of 2019.

"
149,Bank of Montreal,Banking,Canada,29.86,14.92,1.66,360.62,150,0.00460318340635572,0.111260053619303,"The Bank of Montreal (French: Banque de Montréal) is a Canadian multinational investment bank and financial services company. Founded in Montreal, Quebec, in 1817 as Montreal Bank, its head office remains in Montreal, with its operational headquarters and executive offices in Toronto, Ontario, since 1977. One of the Big Five banks in Canada, it is the fourth-largest bank in Canada by market capitalization and assets, as well as one of the ten largest banks in North America. It is commonly known by its acronym BMO (pronounced ), which is also its stock symbol on both the Toronto Stock Exchange and the New York Stock Exchange.On 23 June 1817, John Richardson and eight merchants signed the Articles of Association to establish the Montreal Bank in a rented house in Montreal, Quebec. The bank officially began conducting business on 3 November 1817, making it Canada's oldest bank. It underwent a name change to its current in 1822. BMO's Institution Number (or bank number) is 001.  In Canada, the bank operates as BMO Bank of Montreal and has more than 900 branches, serving over seven million customers. In the United States, it does business as BMO Financial Group, where it has substantial operations in the Chicago area and elsewhere in the country, where it operates BMO Harris Bank. BMO Capital Markets is BMO's investment and corporate banking division, while the wealth management division is branded as BMO Nesbitt Burns. The company is ranked at number 131 on the Forbes Global 2000 list.The company has not missed a dividend payment since 1829, paying dividends consistently through major world crises such as World War I, the Great Depression, World War II, and the 2008 financial crisis; this makes the Bank of Montreal's dividend payment history one of the longest in the world."
150,CNP Assurances,Insurance,France,12.99,58.14,1.4,376.12,151,0.0037222163139423604,0.0240798073615411,"CNP Assurances S.A. is a major French insurance corporation. CNP stands for Caisse Nationale de Prévoyance. It is listed on the Fortune Global 500. The company was formed in 1959 as a subsidiary of Caisse des dépôts et consignations, which continues to hold approximately 40% of the company. Agence des participations de l'État also owned 1.1% for the French State.Worldwide there are 27 million insured under personal risk and protection policies and 14 million savings and pensions policyholders by the company.In France, CNP Assurances distributes its individual insurance products through La Banque Postale and the Caisses d’Epargne, as well as through its own CNP Trésor network. In Brazil, its second-largest market, the Group’s partner is Caixa Econômica Federal, the country's second-biggest state-owned bank."
151,L'Oréal Group,Household & Personal Products,France,63.05,24.36,2.5,33.38,152,0.0748951467944877,0.102627257799672,"L'Oréal S.A. is a French personal care company headquartered in Clichy, Hauts-de-Seine with a registered office in Paris. It is the world's largest cosmetics company and has developed activities in the field concentrating on hair colour, skin care, sun protection, make-up, perfume, and hair care."
152,McDonald's,"Hotels, Restaurants & Leisure",United States,69.05,22.74,4.55,30.07,153,0.151313601596275,0.200087950747581,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona. In 1955, Ray Kroc, a businessman, joined the company as a franchise agent and proceeded to purchase the chain from the McDonald brothers. McDonald's had its previous headquarters in Oak Brook, Illinois, but moved its global headquarters to Chicago in June 2018.McDonald's is the world's largest restaurant chain by revenue, serving over 69 million customers daily in over 100 countries across 37,855 outlets as of 2018. Although McDonald's is best known for its hamburgers, cheeseburgers and  french fries, they feature chicken products, breakfast items, soft drinks, milkshakes, wraps, and desserts. In response to changing consumer tastes and a negative backlash because of the unhealthiness of their food, the company has added to its menu salads, fish, smoothies, and fruit. The McDonald's Corporation revenues come from the rent, royalties, and fees paid by the franchisees, as well as sales in company-operated restaurants. According to two reports published in 2018, McDonald's is the world's second-largest private employer with 1.7 million employees (behind Walmart with 2.3 million employees). As of 2020, McDonald's has the ninth-highest global brand valuation."
153,China Shenhua Energy,Materials,China,85.42,15.72,3.91,40.29,154,0.0970464135021097,0.248727735368957,"China Shenhua Energy Company Limited, also known as Shenhua, China Shenhua, or Shenhua Energy (Chinese: 神华能源), is the largest state-owned coal mining enterprise in Mainland China, and in the world. It is a subsidiary of Shenhua Group. It mines, refines, and sells coal, and generates and sells electric power in the People's Republic of China. It operates coal mines as well as an integrated railway network and a seaport that are primarily used to transport its coal. It also operates power plants in the PRC which are engaged in the generation and sales of coal-based power to provincial and regional electric companies. In the 2020 Forbes Global 2000, China Shenhua Energy was ranked as the 168th -largest public company in the world.

"
154,Oil & Natural Gas,Oil & Gas Operations,India,51.82,20.21,3.86,35.66,155,0.108244531688166,0.190994557149926,"Oil and Natural Gas Corporation (ONGC) is an Indian public sector multinational crude oil and gas company. Its registered office is in New Delhi. It is owned by the Government of India, under the administrative control of the Ministry of Petroleum and Natural Gas. It is the largest oil and gas exploration and production company in the country, and produces around 70% of India's crude oil (equivalent to around 57% of the country's total demand) and around 84% of its natural gas. In November 2010, the Government of India conferred the Maharatna status to ONGC.In a survey by Government of India for fiscal year 2019–20, it was ranked as the largest profit making PSU in India.  It is ranked 7th among the Top 250 Global Energy Companies by Platts.ONGC was founded on 14 August 1956 by Government of India. It is involved in exploring for and exploiting hydrocarbons in 26 sedimentary basins of India, and owns and operates over 11,000 kilometers of pipelines in the country. Its international subsidiary ONGC Videsh currently has projects in 17 countries. ONGC has discovered 6 of the 7 commercially producing Indian Basins, in the last 50 years, adding over 7.15 billion tonnes of In-place Oil & Gas volume of hydrocarbons in Indian basins. Against a global decline of production from matured fields, ONGC has maintained production from its brownfields like Mumbai High, with the help of aggressive investments in various IOR (Improved Oil Recovery) and EOR (Enhanced Oil Recovery) schemes. ONGC has many matured fields with a current recovery factor of 25–33%. Its Reserve Replacement Ratio for between 2005 and 2013, has been more than one. During FY 2012–13, ONGC had to share the highest ever under-recovery of INR 89765.78  billion  (an increase of INR 17889.89 million over the previous financial year) towards the under-recoveries of Oil Marketing Companies (IOC, BPCL and HPCL). On 1 November 2017, the Union Cabinet approved ONGC for acquiring majority 51.11% stake in HPCL (Hindustan Petroleum Corporation Limited). On Jan 30th 2018, Oil & Natural Gas Corporation acquired the entire 51.11% stake of Hindustan Petroleum Corporation.

"
155,BG Group,Oil & Gas Operations,United Kingdom,58.16,16.5,3.5,42.3,156,0.08274231678486998,0.212121212121212,"BG Group plc was a British multinational oil and gas company headquartered in Reading, United Kingdom. On 8 April 2015, Royal Dutch Shell announced that it had reached an agreement to acquire BG Group for $70 billion, subject to regulatory and shareholder agreement. The sale was completed on 15 February 2016. Prior to the takeover, BG Group was listed on the London Stock Exchange (BG.L) and was a constituent of the FTSE 100 Index. In the 2015 Forbes Global 2000, BG Group was ranked as the 583rd largest public company in the world.Prior to its acquisition by Shell, BG Group had operations in 25 countries across six continents and produced around 680,000 barrels of oil equivalent per day. It had a major liquefied natural gas (LNG) business and was the largest supplier of LNG to the United States. As at 31 December 2009 it had total proven commercial reserves of 2.6 billion barrels (410,000,000 m3) of oil equivalent.

"
156,TNK-BP Holding,Oil & Gas Operations,Russia,27.73,31.6,6.38,31.18,157,0.20461834509300797,0.201898734177215,"TNK-BP (Tyumenskaya Neftyanaya Kompaniya, Tyumen Oil Company) was a major vertically integrated Russian oil company headquartered in Moscow. It was Russia's third-largest oil producer and among the ten largest private oil companies in the world. In 2013 it was acquired by Russian oil company Rosneft.DeGolyer and MacNaughton confirmed that as of 31 December 2009 TNK-BP's total proved reserves amounted to 11.667 billion barrels (1.8549×10^9 m3) of oil equivalent."
157,Lowe's Cos,Retailing,United States,34.99,47.22,1.78,33.01,158,0.0539230536201151,0.0376958915713681,"Lowe's Companies, Inc. (), doing business as Lowe's, is an American retail company specializing in home improvement. Headquartered in Mooresville, North Carolina, the company operates a chain of retail stores in the United States, and Canada. As of November 2018, Lowe's and its related businesses operate over 2,200 home improvement and hardware stores in North America.Lowe's is the second-largest hardware chain in the United States behind rival The Home Depot and ahead of Menards. It is also the second-largest hardware chain in the world, also behind The Home Depot but ahead of European retailers Leroy Merlin, B&Q, and OBI."
158,Suncor Energy,Oil & Gas Operations,Canada,45.59,24.3,1.09,65.17,159,0.0167254871873561,0.0448559670781893,"Suncor Energy is a Canadian integrated energy company based in Calgary, Alberta. It specializes in production of synthetic crude from oil sands. In the 2020 Forbes Global 2000, Suncor Energy was ranked as the 252nd-largest public company in the world.Until 2010, Suncor marketed products and services to retail customers in Ontario through a downstream network of 280 company-owned, and 200 customer-operated retail and Diesel fuel sites, primarily in Ontario under the Sunoco brand (owing to Suncor having originally been established as a subsidiary of Sunoco). In 2009, Suncor acquired the former Crown corporation Petro-Canada, which replaced the Sunoco brand across its existing outlets. Suncor also markets through a retail network of Shell and ExxonMobil branded outlets in Colorado.

"
