,Company,Industry,Country,Market Value,Profits,Assets,Sales,Rank,Profits as % of Assets,Profits as % of Sales,description
330,Türkiye Is Bankasi,Banking,Turkey,5.31,1.45,78.65,15.23,331,0.0184361093452003,0.0952068286277085,"İşbank, officially Türkiye İş Bankası, is a commercial bank in Turkey. It was the largest private bank in the country by the size of assets and equity, as well as by the number of branches and employees as of 30 June 2019. It was the first bank founded by the Turkish Republic. İşbank was ranked 96th in a survey of ""The World's Biggest 1000 Banks”. It was ranked and 447 on the Forbes Global 2000 list for 2015. It had a gross profit for 2015 of TRY 3.023 billion and US$6.8 billion in Tier I Capital, as defined by Basel's Bank for International Settlements.

The bank operates 1,354 branches domestically, giving it one of the largest branch networks in Turkey. İşbank's international network comprises 16 branches in the Turkish Republic of Northern Cyprus, two branches in each of Iraq, Kosovo and the United Kingdom, and one branch each in Bahrain, Cairo and Shanghai. İşbank's German banking subsidiary (İşbank GmbH) has 13 branches in Germany and one branch each in the Netherlands, France, Switzerland and Bulgaria. İşbank's Russian banking subsidiary (JSC İşbank) has 11 branches in Russia. There is also a subsidiary in Georgia (JSC İşbank Georgia) with branches in Tbilisi and Batumi."
331,FirstRand,Banking,South Africa,6.76,1.53,104.57,10.55,332,0.014631347422779,0.145023696682464,"FirstRand Limited, also referred to as FirstRand Group is the holding company of FirstRand Bank, and is a financial services provider in South Africa. It is one of the financial services providers licensed by the Reserve Bank of South Africa, the national banking regulator."
332,Union Fenosa,Utilities,Spain,20.74,1.66,25.89,10.01,333,0.0641174198532252,0.165834165834166,"Unión Fenosa, S.A. was, until its acquisition by Gas Natural, a large Spanish company dedicated to the production and distribution to end users of gas and electricity.
It installed capacity of 11,120 megawatts of power and 8.9 million customers. The headquarters were in Madrid and the chairman was Pedro López Jiménez. Formerly a constituent of the IBEX 35 index, the company is a part of the Gas Natural group."
333,Taiwan Semiconductor,Semiconductors,Taiwan,32.97,3.04,17.03,10.13,334,0.178508514386377,0.30009871668311894,"Taiwan Semiconductor Manufacturing Company, Limited (TSMC; Chinese: 台灣積體電路製造股份有限公司; pinyin: Táiwān jī tǐ diànlù zhìzào gǔfèn yǒuxiàn gōngsī) is a Taiwanese multinational semiconductor contract manufacturing and design company. It is one of Taiwan's largest companies, the world's most valuable semiconductor company, and the world's largest dedicated independent (pure-play) semiconductor foundry, with its headquarters and main operations located in the Hsinchu Science Park in Hsinchu, Taiwan. TSMC has a global capacity of about 13 million 300mm equivalent wafers per year as of 2020, and makes chips for customers with process nodes from 2 micron to 5 nanometers. TSMC is the first foundry to provide 7 and 5 nanometer production capabilities with the latter being applied on the new Apple A14 and Apple M1 SoC, and the first to commercialize Extreme Ultraviolet (EUV) lithography technology in high volume."
334,Pub Svc Enterprise,Utilities,United States,13.81,1.19,29.05,13.32,335,0.0409638554216867,0.0893393393393393,"The S&P 600 is an index of small-cap company stocks created by Standard & Poor's. The index is weighted by float-adjusted market capitalization (companies with higher value are relatively weighted more in the index), where public shares are only taken into consideration, excluding promoters' holding, government holding, strategic holding, and other locked-in shares. Periodically, S&P Dow Jones Indices reflects the changes of the S&P 1000 in response to company takeover, or updating the index based on company market capitalization. The information of the 1003 constituents is extracted from Capital IQ, which is an online service by S&P Global that provides real-time financial, technical, and industry data to investment firms, universities, and researchers. Capital IQ offers various features including credit risk analytics, data on public and private company financials, mergers & acquisitions, Excel plug-in and pre-built templates, chart builder, credit ratings, and shareholder analysis."
335,CEZ,Utilities,Czech Republic,16.16,2.41,24.46,9.41,336,0.09852820932134101,0.256110520722636,"ČEZ Group (Czech: 'Skupina ČEZ' České Energetické Závody) is a conglomerate of 96 companies (including the parent company ČEZ, a.s.), 72 of them in the Czech Republic. Its  core business is the generation, distribution, trade in, and sales of electricity and heat, trade in and sales of natural gas, and coal extraction. ČEZ Group operates also in Bulgaria, Germany, Hungary, Poland, Romania, Slovakia and Turkey. ČEZ, a.s. is listed on Prague Stock Exchange and Warsaw Stock Exchange.
ČEZ is the largest utility and biggest public company in Central and Eastern Europe. Its majority shareholder is the Czech government, owning 70% of shares. Its historical political activities have come under scrutiny. According to the Economist, ""though nominally state-run, many see the power flowing the other way: from CEZ’s board into politics"". Capital Group Companies invested 2.98% into ČEZ Group. Since 2011, when Daniel Beneš have become CEO these calls faded out.As of late 2010 the EU was investigating the company's activities. Comments made by third parties under the market test have shown no need to materially change the commitments proposed by ČEZ to the European Commission in June 2012. Under the Settlement Agreement, ČEZ undertakes to sell one of five specific power plants with an installed capacity of at least 800 MW.In January 2013 Albania started a dispute by removing CEZ license to operate in Albania. In June 2014 both parties agreed to settle a dispute. Albania will pay CEZ 100 million euros by 2018 in yearly installments, an amount roughly equal to CEZ's initial investment.In February 2013 Bulgarians began to mass protests against the company and two other foreign-owned power distributors, suggesting the government to follow the case of Albania. All three were fined by Bulgarian competition watchdog. However ČEZ said it had not breached Bulgarian and European laws and would launch an appeal against the ruling in court.
Under CEO Daniel Beneš (since 2011) CEZ Group presented and implemented its new strategy based on three pillars: I. Be among the best in the operation of conventional power facilities and proactively respond to the challenges of the 21st century. II. Offer customers a wide range of products and services addressing their energy needs. III. Strengthen and consolidate ČEZ's position in Central Europe.
In 2015, ČEZ scored first in Deloitte CEE Top 500 according to market cap and forth in overall ranking  and was elected overall winner of the 2015 Euromoney Best Managed Companies Survey for Central and Eastern Europe.

"
336,DBS Group,Banking,Singapore,11.57,1.34,178.06,6.85,337,0.007525553184319891,0.19562043795620396,"DBS Bank Ltd is a Singaporean multinational banking and financial services corporation headquartered in Marina Bay, Singapore. The company was known as The Development Bank of Singapore Limited, before the present name was adopted on 21 July 2003 to reflect its changing role as a global bank.The bank was set up by the Government of Singapore on 16 July 1968 to take over the industrial financing activities from the Economic Development Board. Today, its branches numbering more than 100 can be found island-wide. DBS Bank is the largest bank in Southeast Asia by assets and among the larger banks in Asia, with total assets of S$518 billion as at 31 December 2017. It has market-dominant positions in consumer banking, treasury and markets, asset management, securities brokerage, equity and debt fund-raising in Singapore, Hong Kong and Taiwan.
DBS Bank's largest, and controlling, shareholder is Temasek Holdings, Singapore's second-largest sovereign wealth fund (after GIC). As of 31 March 2018, Temasek owns 29% of DBS shares.The bank's strong capital position, as well as ""AA-"" and ""Aa1"" credit ratings by Standard & Poor's and Moody's that are among the highest in the Asia-Pacific region, earned it Global Finance's ""Safest Bank in Asia"" accolade for six consecutive years, from 2009 to 2015. The Bank was also awarded the Best Digital Bank in the World in the year 2016 by Euromoney. In July 2019, DBS became the first bank ever to concurrently hold three of the most prestigious global best bank honours (Euromoney, Global Finance, The Banker). In addition, DBS Bank is listed on the Dow Jones Sustainability Asia Pacific Index since 2 October 2018, making it the first bank in Southeast Asia to do so. DBS was one of the first companies in Singapore to be recognised for gender equality efforts along with City Developments Limited in the first Bloomberg Gender-Equality Index (GEI) published in 2018.With operations in 17 markets, the bank has a regional network spanning more than 250 branches and over 1,100 ATMs across 50 cities."
337,UBI Banca,Banking,Italy,6.09,1.29,176.93,10.84,338,0.00729101904708077,0.11900369003689999,"Unione di Banche Italiane S.p.A., commonly known for its trading name UBI Banca, is an Italian banking group, the fifth largest in Italy by number of branches. It was formed on 1 April 2007 from the merger of the Banche Popolari Unite (trading as BPU Banca) and Banca Lombarda e Piemontese banking groups.
UBI Banca shares were listed on the Borsa Italiana and included in the FTSE MIB index (the blue chip index) until it was taken over by its larger Italian rival Intesa Sanpaolo in September 2020.

"
338,Gas Natural Group,Utilities,Spain,8.14,1.47,25.61,18.86,339,0.0573994533385396,0.0779427359490986,"This is a list of natural gas companies in the United States.

"
339,Consolidated Edison,Utilities,United States,9.92,1.21,33.5,13.58,340,0.0361194029850746,0.0891016200294551,"Consolidated Edison, Inc., commonly known as Con Edison (stylized as conEdison) or ConEd, is one of the largest investor-owned energy companies in the United States, with approximately $12 billion in annual revenues as of 2017, and over $48 billion in assets. The company provides a wide range of energy-related products and services to its customers through its subsidiaries:

Consolidated Edison Company of New York, Inc. (CECONY), a regulated utility providing electric and gas service in New York City and Westchester County, New York, and steam service in the borough of Manhattan;
Orange and Rockland Utilities, Inc., a regulated utility serving customers in a 1,300-square-mile (3,400 km2) area in southeastern New York and northern New Jersey;
Con Edison Solutions, an energy services company;
Con Edison Energy, a wholesale energy services company;
Con Edison Development, a company that owns and operates renewable and energy infrastructure projects, and,
Con Edison Transmission, Inc., which invests in electric and natural gas transmission projects.In 2015, electric revenues accounted for 70.35% of consolidated sales (70.55% in 2014); gas revenues 13.61% (14.96% in 2014); steam revenues 5.01% (4.86% in 2014); and non-utility revenues of 11.02% (9.63 in 2014%).

"
340,Dow Chemical,Chemicals,United States,6.62,0.58,45.47,57.51,341,0.0127556630745547,0.0100852025734655,"The Dow Chemical Company (TDCC) is an American multinational chemical corporation headquartered in Midland, Michigan, United States, and a subsidiary of Dow Inc. The company is among the three largest chemical producers in the world.Dow manufactures plastics, chemicals, and agricultural products. With a presence in about 160 countries, it employs about 54,000 people worldwide. Dow has been called the ""chemical companies' chemical company"" as its sales are to other industries rather than directly to end-use consumers. Dow is a member of the American Chemistry Council. The company tagline is ""Seek Together"".In 2017, the company merged into DowDuPont and in April 2019, the company's parent, Dow Inc. was separated into a public company via a corporate spin-off."
341,Baxter International,Health Care Equipment & Svcs,United States,31.25,2.01,15.41,12.35,342,0.130434782608696,0.16275303643724698,"Baxter International Inc. is an American multinational health care company with headquarters in Deerfield, Illinois.The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. The company had 2017 sales of $10.6 billion, across two businesses: BioScience and Medical Products. Baxter's BioScience business produces recombinant and blood plasma proteins to treat hemophilia and other bleeding disorders; plasma-based therapies to treat immune deficiencies and other chronic and acute blood-related conditions; products for regenerative medicine, and vaccines. Baxter's Medical Products business produces intravenous products and other products used in the delivery of fluids and drugs to patients; inhalational anaesthetics; contract manufacturing services; and products to treat end-stage kidney disease, or irreversible kidney failure, including products for peritoneal dialysis and hemodialysis.

"
342,Banco Popular Español,Banking,Spain,5.93,1.47,153.43,10.31,343,0.00958091637880467,0.14258001939864198,"Banco Popular Español, S.A. (Spanish pronunciation: [ˈbaŋko popuˈlaɾ espaˈɲol]) was the sixth largest banking group in Spain before it was bought by Banco Santander as part of a rescue package in June 2017.

"
343,Woori Finance Holdings,Banking,South Korea,3.3,2.33,266.51,16.96,343,0.00874263629882556,0.137382075471698,"Woori Financial Group is a Seoul-based banking and financial services holdings company and is the largest bank in South Korea.
Woori has had a short history as a financial institution. It was formed in 2001 from the forced merger of 4 predecessor commercial banks and an investment bank (Hanvit, Peace, Kwangju and Kyongnam Banks and Hanaro Investment Banking and their subsidiaries). The banks were taken over and recapitalised by the government because they had fallen below the Basel I Accord mandated eight percent capital adequacy ratio. The South Korean Government, through the Korean Deposit Insurance Corporation, remains the primary investor as a result.
This came about as a part of the 1997 Asian financial crisis, which affected the operations of virtually all banks and financial firms in South Korea."
344,China Citic Bank,Banking,China,21.27,1.14,138.31,5.96,345,0.00824235413202227,0.19127516778523498,"China CITIC Bank (simplified Chinese: 中信银行; traditional Chinese: 中信銀行; pinyin: Zhōng Xìn Yínháng) is China's seventh-largest lender in terms of total assets. It was known as CITIC Industrial Bank until it changed its name in August 2005. China CITIC Bank, established in 1987, is a nationally comprehensive and internationally oriented commercial bank. The bank operates in almost 130 countries, and maintains a strong foothold on the mainland banking industry. The bank operates 78 branches in the mainland, and 622 sub-branches, located in economically developed regions of China. In total, there are 773 branch offices in China, as of Q4 2011."
345,National Oilwell Varco,Oil & Gas Operations,United States,11.16,1.95,21.48,13.43,346,0.0907821229050279,0.145197319434103,"NOV Inc. (formerly National Oilwell Varco) is an American multinational corporation based in Houston, Texas. It is a leading worldwide provider of equipment and components used in oil and gas drilling and production operations, oilfield services, and supply chain integration services to the upstream oil and gas industry. The company conducts operations in more than 600 locations across six continents, operating through three reporting segments: Rig Technologies, Wellbore Technologies, and Completion & Production Solutions.

"
346,CIC Group,Banking,France,3.21,1.66,366.5,21.56,347,0.00452933151432469,0.0769944341372913,"CIC Insurance Group Limited, commonly referred to as CIC Group, is an insurance and investment group that operates mainly in Kenya, Uganda, South Sudan and Malawi. CIC Group has a network of branches and operational subsidiaries spread across the 4 countries."
347,Mitsubishi Chemical,Chemicals,Japan,5.17,1.64,27.52,29.36,348,0.0595930232558139,0.055858310626702996,"Mitsubishi Chemical Holdings Corporation (株式会社三菱ケミカルホールディングス, Kabushiki-gaisha Mitsubishi Kemikaru Hōrudingusu) (TYO: 4188), is a Japanese company formed in October 2005 from the merger of Mitsubishi Chemical Corporation and Mitsubishi Pharma Corporation. The company is based in Tokyo (1-1 Marunouchi 1-chome, Chiyoda-ku, Tokyo 100-8251) and is managed by Hitoshi Ochi. It is one of the core Mitsubishi companies.

"
348,NIKE,Household & Personal Products,United States,20.1,1.86,12.63,19.65,349,0.14726840855106899,0.0946564885496183,"Nike, Inc. () is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment, with revenue in excess of US$37.4 billion in its fiscal year 2020 (ending May 31, 2020). As of 2020, it employed 76,700 people worldwide. In 2020 the brand alone was valued in excess of $32 billion, making it the most valuable brand among sports businesses. Previously in 2017, the Nike brand was valued at $29.6 billion. Nike ranked No. 89 in the 2018 Fortune 500 list of the largest United States corporations by total revenue.The company was founded on January 25, 1964, as ""Blue Ribbon Sports"", by Bill Bowerman and Phil Knight, and officially became Nike, Inc. on May 30, 1971. The company takes its name from Nike, the Greek goddess of victory. Nike markets its products under its own brand, as well as Nike Golf, Nike Pro, Nike+, Air Jordan, Nike Blazers, Air Force 1, Nike Dunk, Air Max, Foamposite, Nike Skateboarding, Nike CR7, and subsidiaries including Jordan Brand and Converse. Nike also owned Bauer Hockey (later renamed Nike Bauer) from 1995 to 2008, and previously owned Cole Haan, Umbro, and Hurley International. In addition to manufacturing sportswear and equipment, the company operates retail stores under the Niketown name. Nike sponsors many high-profile athletes and sports teams around the world, with the highly recognized trademarks of ""Just Do It"" and the Swoosh logo."
349,Renault,Consumer Durables,France,4.04,0.79,88.49,52.6,350,0.0089275624364335,0.0150190114068441,"Groupe Renault (UK:  REN-oh, US:  rə-NAWLT, rə-NOH, French: [ɡʁup ʁəno], also known as the Renault Group in English; legally Renault S.A.) is a French multinational automobile manufacturer established in 1899. The company produces a range of cars and vans, and in the past has manufactured trucks, tractors, tanks, buses/coaches, aircraft and aircraft engines, and autorail vehicles.
According to the Organisation Internationale des Constructeurs d'Automobiles, in 2016 Renault was the ninth biggest automaker in the world by production volume. By 2017, the Renault–Nissan–Mitsubishi Alliance had become the world's biggest seller of light vehicles.Headquartered in Boulogne-Billancourt, near Paris, the Renault group is made up of the namesake Renault marque and subsidiaries, Alpine, Renault Sport (Gordini), Automobile Dacia from Romania, Renault Samsung Motors from South Korea, and AvtoVAZ from Russia. Renault has a 43.4% controlling stake in Nissan of Japan, and a 1.55% stake in Daimler AG of Germany (since 2012, Renault manufactures engines for the Daimler's Mercedes A-Class and B-Class cars). Renault also owns subsidiaries RCI Banque (automotive financing), Renault Retail Group (automotive distribution) and Motrio (automotive parts). Renault has various joint ventures, including Oyak-Renault (Turkey), Renault Pars (Iran). The French government owns a 15% share of Renault.
Renault Trucks, previously known as Renault Véhicules Industriels, has been part of Volvo since 2001. Renault Agriculture became 100% owned by German agricultural equipment manufacturer CLAAS in 2008.
Together Renault and Nissan invested €4 billion (US$5.16 billion) in eight electric vehicles over three to four years beginning in 2011. Since the launch of the Renault electric program, the group has sold more than 273,000 electric vehicles worldwide through December 2019.Renault is known for its role in motor sport, particularly rallying, Formula 1 and Formula E. Its early work on mathematical curve modeling for car bodies is important in the history of computer graphics."
350,China Unicom,Telecommunications Services,Hong Kong/China,21.55,1.23,20.4,13.13,351,0.0602941176470588,0.0936785986290937,"China United Network Communications Group Co., Ltd. (Chinese: 中国联合网络通信集团有限公司) or China Unicom (Chinese: 中国联通) (CUniq in short) is a Chinese state-owned telecommunications operator of China. China Unicom is the world's fourth-largest mobile service provider by subscriber base.Started as a wireless paging and GSM mobile operator, it currently provides a wide range of services including nationwide GSM mobile network, long-distance, local calling, data communication, Internet services, and IP telephony in mainland China. China Unicom has operated a CDMA network in Macau since October 18, 2006 and internet services in North Korea since 2010. As of the end of April 2008, the company had 125 million GSM subscribers and 43 million CDMA subscribers. As of November 2008 the CDMA operations have been moved to China Telecommunications Corporation (China Telecom Group). On 7 January 2009, China Unicom was awarded WCDMA license to expand its business to 3G telecommunication. UMTS (Universal Mobile Telecommunications System) was launched in major cities across China on May 17, 2009.On July 11, 2020, China Unicom joined hands with LuHan to launch the ""FuLu Companion Card"", which sounded the forward number for the further development of 5G.  LuHan also officially unlocked his new identity and became a ""China Unicom Innovation Partner"", with the ""FuLu companion card"" to bring exclusive benefits and surprises to the majority of Unicom users."
351,Kirin Holdings,"Food, Drink & Tobacco",Japan,9.58,0.88,28.52,19.77,352,0.0308555399719495,0.0445118866970157,"Kirin Brewery Company, Limited (麒麟（キリン）麦酒（ビール）株式会社, Kirin Bīru kabushiki gaisha) is a Japanese integrated beverages company. It is a subsidiary of Kirin Holdings Company, Limited.
Its major operating units include Kirin Brewery Company, Limited, Mercian Corporation and Kirin Beverages Company, Limited. Kirin is a member of the Mitsubishi Group.

"
352,CCCC-China Communications Construction,Construction,China,14.45,0.83,22.61,20.62,353,0.0367094206103494,0.0402521823472357,"China Communications Construction Company, Ltd. (CCCC) is a majority state-owned, publicly traded, multinational engineering and construction company primarily engaged in the design, construction and operation of infrastructure assets, including highways, bridges, tunnels, railways (especially high-speed rail), subways, airports, oil platforms, and marine ports. CCCC has been a contractor for numerous Belt and Road Initiative projects."
353,BCE,Telecommunications Services,Canada,15.72,0.76,32.13,14.34,354,0.0236539060068472,0.0529986052998605,"BCE Inc., formerly Bell Canada Enterprises Inc., is a publicly traded Canadian holding company for the Bell Canada group of companies, which includes telecommunications providers and various mass media assets under its subsidiary Bell Media Inc.  Founded through a corporate reorganization in 1983 when Bell Canada, Northern Telecom, and other related companies all became subsidiaries of Bell Canada Enterprises Inc., BCE Inc. is one of Canada's largest corporations. The company is headquartered at 1 Carrefour Alexander-Graham-Bell in Montreal, Quebec, Canada.
BCE Inc. is a component of the S&P/TSX 60 and is listed with the Toronto Stock Exchange (TSX: BCE) and the New York Stock Exchange (NYSE:BCE). It was ranked as Canada's 17th largest corporation by revenue in 2014 and as the ninth-largest by capitalization in 2015."
354,Accenture,Software & Services,Bermuda,21.04,1.79,10.93,25.68,355,0.163769441903019,0.0697040498442368,"Accenture plc is an American-Irish multinational professional services company. A Fortune Global 500 company, it reported revenues of $44.33 billion in 2020 and had 506,000 employees. In 2015, the company had about 150,000 employees in India, 48,000 in the US, and 50,000 in the Philippines. Accenture's current clients include 91 of the Fortune Global 100 and more than three-quarters of the Fortune Global 500.On 11 July 2019, Accenture appointed Julie Sweet as their new chief executive officer. She accepted her office on 1 September 2019.It has been incorporated in Dublin, Ireland since 2009."
355,China Cosco Holdings,Transportation,China,12.0,2.67,15.93,14.79,356,0.16760828625235402,0.18052738336714003,"China Ocean Shipping Company, Limited, formerly China Ocean Shipping (Group) Company, commonly known for its abbreviated name COSCO Group, or simply, COSCO, is a former Chinese Government owned shipping and logistics services supplier company. It is one of the major holding company for China COSCO Shipping. China COSCO Shipping itself is formed by a merger of COSCO Group and China Shipping Group as one conglomerate, by a creation of a new common parent company of the two groups.
COSCO headquarters is in Ocean Plaza in the Xicheng District in Beijing. It owns 1114 ships, including 365 dry bulk vessels, a container fleet with a capacity of 1,580,000 twenty-foot equivalent units (TEU), and a tanker fleet of 120 vessels. The fleet calls at over a thousand ports worldwide. It ranks third largest in both number of container ships and aggregate container volume in the world. In 2012, it was among China's top 15 brands.It was the largest dry bulk carrier in China and one of the largest dry bulk shipping operators worldwide. In addition, the Group is the largest liner carrier in China.

"
356,Automatic Data,Business Services & Supplies,United States,17.24,1.22,33.36,9.02,357,0.0365707434052758,0.135254988913525,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.

"
357,Norfolk Southern,Transportation,United States,11.62,1.72,26.3,10.66,358,0.0653992395437262,0.16135084427767402,"The Norfolk Southern Railway (reporting mark NS) is a Class I freight railroad in the United States, and is the current name of the former Southern Railway. With headquarters in Atlanta, Georgia, the company operates 19,420 route miles (31,250 km) in 22 eastern states, the District of Columbia, and has rights in Canada over the Albany to Montréal route of the Canadian Pacific Railway, and previously on CN from Buffalo to St. Thomas. NS is responsible for maintaining 28,400 miles (45,700 km), with the remainder being operated under trackage rights from other parties responsible for maintenance. The most common commodity hauled on the railway is coal from mines in Indiana, Kentucky, Pennsylvania, Tennessee, Virginia, and West Virginia. The railway also offers the largest intermodal network in eastern North America.
NS is a major transporter of domestic and export coal. The railway's major sources of the mineral are located in Pennsylvania's Cambria and Indiana counties, as well as the Monongahela Valley; West Virginia; and the Appalachia regions of Virginia, Kentucky, and Tennessee. In Pennsylvania, NS also receives coal through interchange with R.J. Corman Railroad/Pennsylvania Lines at Cresson, Pennsylvania, originating in the ""Clearfield Cluster"". NS's export of West Virginia bituminous coal begins transport on portions of the well-engineered former Virginian Railway and the former N&W double-tracked line in Eastern Virginia to its Lambert's Point coal pier on Hampton Roads at Norfolk. Coal transported by NS is thus exported to steel mills and power plants around the world. The company is also a major transporter of auto parts and completed vehicles. It operates intermodal container and TOFC (trailer on flat car) trains, some in conjunction with other railways. NS was the first railway to employ roadrailers (highway truck trailers with interchangeable wheel sets).
Norfolk Southern is the namesake and leading subsidiary of the Norfolk Southern Corporation, based in Norfolk, Virginia, and incorporated in Virginia. Norfolk Southern Corporation was incorporated on July 23, 1980 and is publicly traded on the New York Stock Exchange (NYSE) under the symbol NSC. The primary business function of Norfolk Southern Corporation is the rail transportation of raw materials, intermediate products, and finished goods across the Southeast, East, and Midwest United States. The corporation further facilitates transport to the remainder of the United States through interchange with other rail carriers while also serving overseas transport needs by serving several Atlantic and Gulf Coast ports. As of April 10, 2019, Norfolk Southern Corporation's total public stock value was slightly over $51.6 billion.On December 12, 2018, Norfolk Southern announced that it would be relocating its headquarters to Atlanta, Georgia; leaving its hometown of Norfolk after 38 years. The move is expected to be completed by the year 2021."
358,Swisscom,Telecommunications Services,Switzerland,15.65,1.65,21.31,11.43,359,0.0774284373533552,0.144356955380577,"Swisscom AG is a major telecommunications provider in Switzerland. Its headquarters are located in Ittigen near Bern. The Swiss government owns 51.0 percent of Swisscom AG. According to its own published data, Swisscom holds a market share of 60% for mobile, 67% for broadband and 33% for TV telecommunication in Switzerland. Its Italian subsidiary Fastweb is attributed 16% of private clients and 29% of corporate clients share of Italian broadband and is also active in the mobile market.The Swiss telegraph network was first set up in 1852, followed by telephones in 1877. The two networks were combined with the postal service in 1920 to form the PTT (Postal Telegraph and Telephone). It struggled to develop a homegrown digital network, with the first digital exchange launched in 1986, but pioneered the NATEL A mobile service in 1978 and the GSM-based NATEL D offering a digital service in 1993. The Swiss telecommunications market was deregulated in 1997. Telecom PTT was spun off and rebranded Swisscom ahead of a partial privatisation in 1997. The present-day Swisscom owns the protected brand NATEL, which is used and known only in Switzerland.In 2001, 25% of Swisscom Mobile was sold to Vodafone. Since then, Swisscom has bought a majority stake in Italy's second-biggest telecom company Fastweb and invested in areas such as hospitality support, cloud services and billing. New services in the areas of digitisation and IT services are intended to compensate for the risk of revenue losses from the traditional core business."
359,Erste Bank,Banking,Austria,3.08,1.71,292.52,20.57,360,0.0058457541364693,0.0831307729703452,"Erste Group Bank AG (Erste Group)  is one of the largest financial services providers in Central and Eastern Europe serving 15.7 million clients in over 2,700 branches in seven countries. 

"
360,Fortum,Utilities,Finland,15.38,2.15,28.18,7.85,361,0.0762952448545067,0.273885350318471,"Fortum Oyj is a Finnish state-owned energy company focusing on the Nordic and Baltic countries, Poland, Russia and India. Fortum operates power plants, including co-generation plants, and generates and sells electricity and heat. The company also sells waste services such as recycling, reutilisation, final disposal solutions and soil remediation and environmental constructions services, and other energy-related services and products e.g. consultancy services for power plants and electric vehicle charging. Fortum is listed on the NASDAQ OMX Helsinki stock exchange.

"
361,General Mills,"Food, Drink & Tobacco",United States,17.21,1.27,19.11,14.38,362,0.0664573521716379,0.088317107093185,"General Mills, Inc., is an American multinational manufacturer and marketer of branded consumer foods sold through retail stores. It is headquartered in Golden Valley, Minnesota, a suburb of Minneapolis.  Often nicknamed ""Big G"", the company markets many well-known North American brands, including Gold Medal flour, Annie's Homegrown, Betty Crocker, Yoplait, Colombo, Totino's, Pillsbury, Old El Paso, Häagen-Dazs, Cheerios, Trix, Cocoa Puffs, and Lucky Charms. Its brand portfolio includes more than 89 other leading U.S. brands and numerous category leaders around the world.

"
362,Nucor,Materials,United States,10.57,1.83,13.87,23.66,363,0.131939437635184,0.077345731191885,"Nucor Corporation is a producer of steel and related products based in Charlotte, North Carolina. It is the largest steel producer in the United States, as well as the largest ""mini-mill"" steelmaker (i.e. it uses electric arc furnaces to melt scrap steel as opposed to blast furnaces to melt iron). It is also the biggest recycler of scrap in North America.

"
363,Suzuki Motor,Consumer Durables,Japan,8.57,0.8,23.18,35.09,363,0.0345125107851596,0.0227985180963237,"Suzuki Motor Corporation (Japanese: スズキ株式会社, Hepburn: Suzuki Kabushiki-Kaisha) is a Japanese multinational corporation headquartered in Minami-ku, Hamamatsu. Suzuki manufactures automobiles, four-wheel drive vehicles, motorcycles, all-terrain vehicles (ATVs), outboard marine engines, wheelchairs and a variety of other small internal combustion engines. In 2016, Suzuki was the eleventh biggest automaker by production worldwide.
Suzuki has over 45,000 employees and has 35 production facilities in 23 countries, and 133 distributors in 192 countries. The worldwide sales volume of automobiles is the world's tenth largest, while domestic sales volume is the third largest in the country.Suzuki's domestic motorcycle sales volume is the third largest in Japan."
364,Halliburton,Oil & Gas Operations,United States,14.63,1.54,14.39,18.28,365,0.10701876302988199,0.0842450765864333,"Halliburton Company is an American multinational corporation.  One of the world's largest oil field service companies, it has operations in more than 70 countries. It owns hundreds of subsidiaries, affiliates, branches, brands, and divisions worldwide and employs approximately 55,000 people.The company has dual headquarters located in Houston and in Dubai, but it remains incorporated in the United States.Halliburton's major business segment is the Energy Services Group (ESG). It offers a broad array of products and services to upstream oil and gas customers worldwide through fourteen product service lines: Artificial Lift, Cementing, Completion Tools, Multi-Chem, Pipeline & Process Services, Production Enhancement, Production Solutions, Baroid, Drill Bits & Services, Landmark Software & Services, Sperry Drilling, Testing & Subsea, Wireline & Perforating, and Consulting & Project Management. Halliburton's former subsidiary, KBR, is a major construction company of refineries, oil fields, pipelines, and chemical plants. Halliburton announced on April 5, 2007, that it had sold the division and severed its corporate relationship with KBR, which had been its contracting, engineering and construction unit as a part of the company.The company has been involved in numerous controversies, including its involvement with Dick Cheney – as U.S. Secretary of Defense, then CEO of the company, then Vice President of the United States – and the Iraq War, and the Deepwater Horizon, for which it agreed to settle outstanding legal claims against it by paying litigants $1.1 billion.
KBR, one of Halliburton's subsidiaries at the time, paid bribes to high-ranking Nigerian officials between 1994 and 2004. Under a deal reached with the U.S. Justice Department, Halliburton has agreed to pay $382 million to settle the bribery case.Jeff Miller was promoted to President of Halliburton on August 1, 2014, and CEO on June 1, 2017, replacing Dave Lesar."
365,Inpex,Oil & Gas Operations,Japan,16.34,1.74,17.96,12.05,366,0.0968819599109131,0.144398340248963,"INPEX Corporation is a Japanese oil company established in February 1966 as North Sumatra Offshore Petroleum Exploration Co., Ltd. INPEX is the largest oil and gas exploration and production company in Japan, with global exploration, development and production projects in 20 countries. In the 2020 Forbes Global 2000, Inpex was ranked as the 597th -largest public company in the world.

"
