,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage,Profits as % of Assets,Profits as % of Sales,description
10,BNP Paribas,Major Banks,France,88.0,130.4,10.5,2680.7,11,http://www.forbes.com/companies/bnp-paribas,0.0039168873801619,0.080521472392638,"BNP Paribas S.A. is a French international banking group. It is the world's 8th largest bank by total assets, and currently operates with a presence in 72 countries. It was formed through the merger of Banque Nationale de Paris (BNP) and Paribas in 2000, but has a corporate identity stretching back to its first foundation in 1848 as a national bank. It is one of three major international French banks, along with Société Générale and Crédit Agricole. The group is listed on the first market of Euronext Paris and a component of the Euro Stoxx 50 stock market index, while it also included in the French CAC 40 index.
With both a retail banking section and investment banking operations, the bank is present on five continents. Its retail banking networks serve more than 30 million customers in its three domestic markets, France, Belgium and Italy, through several brands such as BNL and Fortis. The retail bank also operates in the Mediterranean region and in Africa. In the Americas, it operates in the western United States as Bank of the West. As an investment bank and international financial services provider for corporate and institutional clients, it is present across Europe, the Americas, and Asia.
BNP Paribas is the largest French banking group and the largest bank in the Eurozone. It became one of the five largest banks in the world following the 2008 financial crisis. Despite some legal difficulties in 2014, including being fined the largest ever sum as reparation for violating US sanctions, it remains one of the ten largest banks worldwide.

"
11,Wells Fargo,Major Banks,United States,170.6,93.2,12.4,1258.1,11,http://www.forbes.com/companies/wells-fargo,0.00985613226293617,0.133047210300429,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.The firm's primary subsidiary is national bank Wells Fargo Bank, N.A., which is incorporated in Delaware and designates its main office as Sioux Falls, South Dakota. It is the fourth largest bank in the US by total assets. Wells Fargo is ranked number 26 on the 2018 Fortune 500 rankings of the largest US corporations by total revenue.In July 2015, Wells Fargo became the world's largest bank by market capitalization, edging past ICBC, before slipping behind JPMorgan Chase in September 2016, in the wake of a scandal involving the creation of over  2 million fake bank accounts  and illegal manipulation of other accounts by Wells Fargo employees. Wells Fargo fell behind Bank of America to third by bank deposits in 2017 and behind Citigroup to fourth by total assets in 2018.Wells Fargo in its present form is a result of a merger between San Francisco–based Wells Fargo & Company and Minneapolis-based Norwest Corporation in 1998 and the subsequent 2008 acquisition of Charlotte-based Wachovia. Following the mergers, the company transferred its headquarters to Wells Fargo's headquarters in San Francisco and merged its operating subsidiary with Wells Fargo's operating subsidiary in Sioux Falls. Along with JPMorgan Chase, Bank of America, and Citigroup, Wells Fargo is one of the ""Big Four Banks"" of the United States. As of June 2018, it had 8,050 branches and 13,000 ATMs. In 2018 the company had operations in 35 countries with over 70 million customers globally.In February 2014, Wells Fargo was named the world's most valuable bank brand for the second consecutive year in The Banker and Brand Finance study of the top 500 banking brands. In 2016, Wells Fargo ranked 7th on the Forbes Global 2000 list of largest public companies in the world and ranked 27th on the Fortune 500 list of the largest companies in the US. In 2015, the company was ranked the 22nd most admired company in the world, and the 7th most respected company in the world. As of December 2018, the company had a Standard & Poors credit rating of A−. However, for a brief period in 2007, the company was the only AAA-rated bank, reflecting the highest credit rating from two firms.On February 2, 2018, the US Federal Reserve Bank barred Wells Fargo from growing its nearly US$2 trillion-asset base any further, based upon years of misconduct, until Wells Fargo fixes its internal problems to the satisfaction of the Federal Reserve. In April 2018, The Wall Street Journal reported that the US Department of Labor had launched a probe into whether Wells Fargo was pushing its customers into more expensive retirement plans as well as into retirement funds managed by Wells Fargo itself. Subsequently in May 2018, The Wall Street Journal reported that Wells Fargo's business banking group had improperly altered documents about business clients in 2017 and early 2018. In June 2018, Wells Fargo began retreating from retail banking in the Midwestern United States by announcing the sale of all its physical bank branch locations in Indiana, Michigan, and Ohio to Flagstar Bank."
12,Banco Santander,Major Banks,Spain,94.7,109.7,12.8,1570.6,13,http://www.forbes.com/companies/banco-santander,0.00814975168725328,0.116681859617138,"Banco Santander, S.A., doing business as Santander Group (UK: , US: , Spanish: [santanˈdeɾ]), is a Spanish multinational financial services company based in Madrid and Santander in Spain. Additionally, Santander maintains a presence in all global financial centres as the 16th-largest banking institution in the world. Although known for its European banking operations, it has extended operations across North and South America, and more recently in continental Asia.  
Many subsidiaries, such as Abbey National, have been rebranded under the Santander name. The company is a component of the Euro Stoxx 50 stock market index. In May 2016, Santander was ranked as 37th in the Forbes Global 2000 list of the world's biggest public companies. Santander is Spain's largest bank.As of 2017, Santander is the 4th largest bank in Europe with approximately US$1.4 trillion in total assets-under-management (AUM). Traded on the Euro Stoxx 50 stock market index, the bank has a total market capitalization of $69.9 billion.

"
13,AT&T,Telecommunications services,United States,168.2,124.3,19.9,268.5,14,http://www.forbes.com/companies/att,0.0741154562383613,0.160096540627514,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's largest telecommunications company, the largest provider of mobile telephone services, and the largest provider of fixed telephone services in the United States through AT&T Communications.  Since June 14, 2018, it is also the parent company of mass media conglomerate WarnerMedia, making it the world's largest media and entertainment company in terms of revenue. As of 2020, AT&T was ranked 9 on the Fortune 500 rankings of the largest United States corporations, with revenues of $181 billion.AT&T began its history as Southwestern Bell Telephone Company, a subsidiary of the Bell Telephone Company, founded by Alexander Graham Bell in 1877. The Bell Telephone Company became the American Telephone and Telegraph Company in 1885 and was later rebranded as AT&T Corporation. The 1982 United States v. AT&T antitrust lawsuit resulted in the divestiture of AT&T Corporation's (""Ma Bell"") subsidiaries or Regional Bell Operating Companies (RBOCs), commonly referred to as  ""Baby Bells"", resulting in several independent companies, including Southwestern Bell Corporation; the latter changed its name to SBC Communications Inc. in 1995. In 2005, SBC purchased its former parent AT&T Corporation and took on its branding, with the merged entity naming itself AT&T Inc. and using its history, iconic logo and stock-trading symbol. AT&T Inc. acquired BellSouth in 2006, the last independent Baby Bell company, making its formerly joint venture Cingular Wireless (which had acquired AT&T Wireless in 2004) wholly owned and rebranding it as AT&T Mobility.
The current AT&T reconstitutes much of the former Bell System, and includes ten of the original 22 Bell Operating Companies along with the original long-distance division.

"
14,Gazprom,Oil & Gas Operations,Russia,172.9,98.7,25.7,275.9,15,http://www.forbes.com/companies/gazprom,0.0931496919173614,0.260385005065856,"PJSC Gazprom (Russian: Газпром, IPA: [ɡɐsˈprom]) is a Russian majority state-owned multinational energy corporation headquartered in the Lakhta Center in Saint Petersburg. As of 2019, with sales over US$120 billion, it sits as the largest publicly-listed natural gas company in the world and the largest company in Russia by revenue. In the 2020 Forbes Global 2000, Gazprom was ranked as the 32nd -largest public company in the world.  Gazprom name is a portmanteau of the Russian words Gazovaya Promyshlennost (Russian: га́зовая промы́шленность – gas industry).
Gazprom is vertically integrated and is active in every area of the gas industry, including exploration and production, refining, transport, distribution and marketing, and power generation. In 2018, Gazprom produced twelve percent of the global output of natural gas, producing 497.6 billion cubic meters of natural and associated gas and 15.9 million tonnes of gas condensate. Gazprom then exports the gas through pipelines that the company builds and owns across Russia and abroad such as Nord Stream and TurkStream. In the same year, Gazprom has proven reserves of 35.1 trillion cubic meters of gas and 1.6 billion tons of gas condensate. Gazprom is also a large oil producer through its subsidiary Gazprom Neft, producing about 41 million tons of oil with reserves amounting to 2 billion tons. The company also has subsidiaries in industrial sectors including finance, media and aviation, and majority stakes in other companies.
Gazprom was created in 1989, when the Soviet Ministry of Gas Industry was converted to a corporation, becoming the first state-run corporate enterprise in the Soviet Union. After the Soviet Union's dissolution, Gazprom was privatized, retaining its Russia-based assets. At that time, Gazprom evaded taxes and state regulation and engaged in asset stripping. The company later returned to government control in the early 2000s, and since then, the company is involved in the Russian Government's diplomatic efforts, setting of gas prices, and access to pipelines.The company is mostly owned by the Russian government, via the Federal Agency for State Property Management and Rosneftegaz, while remaining shares are traded publicly. Gazprom has a listing in the Moscow Exchange and has a market capitalization of US$80.56 billion as of September 2019."
15,Chevron,Oil & Gas Operations,United States,200.6,189.6,19.0,184.8,16,http://www.forbes.com/companies/chevron,0.10281385281385301,0.100210970464135,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil, natural gas, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation. Chevron is one of the world's largest companies; as of March 2020, it ranked fifteenth in the Fortune 500 with a  yearly revenue of $146.5 billion and market valuation of $136 billion. In the 2020 Forbes Global 2000, Chevron was ranked as the 61st -largest public company in the world.  It was also one of the Seven Sisters that dominated the global petroleum industry from the mid-1940s to the 1970s. Chevron is incorporated in California.Chevron's downstream operations manufacture and sell products such as fuels, lubricants, additives, and petrochemicals. The company's most significant areas of operations are the west coast of North America, the U.S. Gulf Coast, Southeast Asia, South Korea and Australia. In 2018, the company produced an average of 791,000 barrels of net oil-equivalent per day in United States."
16,China Construction Bank,Regional Banks,China,224.8,58.2,15.6,1408.0,17,http://www.forbes.com/companies/china-construction-bk,0.0110795454545455,0.268041237113402,"China Construction Bank Corporation (CCB) is one of the ""big four"" banks in the People's Republic of China. In 2015 CCB was the 2nd largest bank in the world by market capitalization and 6th largest company in the world. The bank has approximately 13,629 domestic branches. In addition, it maintains overseas branches in Barcelona, Frankfurt, Luxembourg, Hong Kong, Johannesburg, New York City, Seoul, Singapore, Tokyo, Melbourne, Kuala Lumpur, Sydney and Auckland, and a wholly owned subsidiary in London. Its total assets reached CN¥ 8.7 trillion in 2009. Its headquarters is in Xicheng District, Beijing.

"
17,Wal-Mart Stores,Discount Stores,United States,187.3,421.8,16.4,180.7,18,http://www.forbes.com/companies/wal-mart-stores,0.0907581627006087,0.0388809862494073,"Walmart Inc. ( ; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. It also owns and operates Sam's Club retail warehouses. As of October 31, 2020, Walmart has 11,510 stores and clubs in 27 countries, operating under 56 different names. The company operates under the name Walmart in the United States and Canada, as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as the Seiyu Group in Japan, and as Flipkart Wholesale in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart holds only a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company.
Walmart is the world's largest company by revenue, with US$514.405 billion, according to the Fortune Global 500 list in 2019. It is also the largest private employer in the world with 2.2 million employees. It is a publicly traded family-owned business, as the company is controlled by the Walton family. Sam Walton's heirs own over 50 percent of Walmart through both their holding company Walton Enterprises and their individual holdings. Walmart was the largest United States grocery retailer in 2019, and 65 percent of Walmart's US$510.329 billion sales came from U.S. operations.Walmart was listed on the New York Stock Exchange in 1972. By 1988, it was the most profitable retailer in the U.S., and it had become the largest in terms of revenue by October 1989. The company was originally geographically limited to the South and lower Midwest, but it had stores from coast to coast by the early 1990s. Sam's Club opened in New Jersey in November 1989, and the first California outlet opened in Lancaster, in July 1990. A Walmart in York, Pennsylvania, opened in October 1990, the first main store in the Northeast.Walmart's investments outside the U.S. have seen mixed results. Its operations and subsidiaries in Canada, the United Kingdom, Central America, South America, and China are highly successful, but its ventures failed in Germany and South Korea."
18,Total,Oil & Gas Operations,France,138.0,188.1,14.2,192.8,19,http://www.forbes.com/companies/total,0.0736514522821577,0.075491759702286,"Total SE (French pronunciation: ​[tɔtal]; English:  or ) is a French multinational integrated oil and gas company founded in 1924 and one of the seven ""supermajor"" oil companies. Its businesses cover the entire oil and gas chain, from crude oil and natural gas exploration and production to power generation, transportation, refining, petroleum product marketing, and international crude oil and product trading. Total is also a large scale chemicals manufacturer.
Total has its head office in the Tour Total in La Défense district in Courbevoie, west of Paris. The company is a component of the Euro Stoxx 50 stock market index. In the 2020 Forbes Global 2000, Total SE was ranked as the 29th-largest public company in the world."
19,Allianz,Diversified Insurance,Germany,62.7,142.9,6.7,838.4,20,http://www.forbes.com/companies/allianz,0.00799141221374046,0.0468859342197341,"Allianz SE ( AL-ee-ənts; German pronunciation: [aliˈants] (listen)) is a European multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management. 
As of 2014, it is the world's largest insurance company, the largest financial services group and the largest company according to a composite measure by Forbes magazine, as well as the largest financial services company when measured by 2013 revenue. The company is a component of the Euro Stoxx 50 stock market index.Its asset management division, which consists of PIMCO, Allianz Global Investors and Allianz Real Estate, has €1,960 billion of assets under management (AuM), of which €1,448 billion are third-party assets (as at 2017-12-31).Allianz sold Dresdner Bank to Commerzbank in November 2008. As a result of this transaction, Allianz gained a 14% controlling stake in the new Commerzbank."
20,Bank of China,Major Banks,China,143.0,49.4,11.9,1277.8,21,http://www.forbes.com/companies/bank-of-china,0.00931288151510409,0.240890688259109,"The Bank of China (Chinese: 中国银行; pinyin: Zhōngguó Yínháng; often abbreviated as 中行 or BOC) is one of the four biggest state-owned commercial banks in China. Bank of China is legally separate from its subsidiary Bank of China (Hong Kong), although they maintain close relations in management and administration and co-operate in several areas including reselling BOC's insurance and securities services.
It was founded in 1912 by the Republican government to replace the Daqing Bank. It is the second oldest bank in mainland China still in existence (after the Bank of Communications, founded in 1908). From its establishment until 1942, it issued banknotes on behalf of the Government along with the ""Big Four"" banks of the period: the Farmers Bank of China, Bank of Communications and Central Bank of the Republic of China. Its headquarters are in Xicheng District, Beijing.As of 31 December 2009, it was the second-largest lender in China overall, and the fifth-largest bank in the world by market capitalization value.As of end 2017, it was the fourth-largest bank in the world in terms of assets, ranked after the other three Chinese banks."
